order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,51,4,418.71,1674.84
2,2,67,1,190.73,190.73
3,2,25,1,11.18,11.18
4,3,16,3,191.0,573.0
5,4,7,3,433.96,1301.88
6,4,71,4,312.55,1250.2
7,5,53,3,22.25,66.75
8,5,75,2,311.66,623.32
9,5,55,5,91.47,457.35
10,5,94,5,188.36,941.8
11,5,80,1,457.79,457.79
12,6,6,5,169.11,845.55
13,6,58,2,428.71,857.42
14,6,96,4,492.83,1971.32
15,7,37,4,150.09,600.36
16,7,8,5,145.01,725.05
17,8,65,4,135.24,540.96
18,8,27,4,181.58,726.32
19,8,78,3,113.55,340.65
20,8,37,1,150.09,150.09
21,8,7,4,433.96,1735.84
22,9,67,4,190.73,762.92
23,9,1,2,222.0,444.0
24,9,86,2,414.94,829.88
25,10,25,1,11.18,11.18
26,10,86,1,414.94,414.94
27,11,41,1,375.65,375.65
28,11,99,4,456.46,1825.84
29,11,46,2,374.01,748.02
30,12,99,4,456.46,1825.84
31,12,59,3,368.02,1104.06
32,12,93,1,385.7,385.7
33,13,85,2,471.23,942.46
34,13,70,3,300.78,902.34
35,13,14,1,130.42,130.42
36,13,76,1,151.43,151.43
37,13,39,3,237.28,711.84
38,14,30,1,495.43,495.43
39,14,98,2,471.22,942.44
40,14,26,3,130.53,391.59
41,14,33,5,477.57,2387.85
42,14,66,2,82.04,164.08
43,15,58,3,428.71,1286.13
44,15,54,4,74.12,296.48
45,15,59,5,368.02,1840.1
46,15,61,1,178.01,178.01
47,15,22,3,101.68,305.04
48,16,58,5,428.71,2143.55
49,17,39,5,237.28,1186.4
50,18,41,3,375.65,1126.95
51,18,53,5,22.25,111.25
52,18,68,4,334.58,1338.32
53,19,17,4,281.39,1125.56
54,19,7,5,433.96,2169.8
55,19,1,3,222.0,666.0
56,20,9,1,203.37,203.37
57,20,68,1,334.58,334.58
58,21,98,4,471.22,1884.88
59,21,40,3,326.09,978.27
60,22,55,2,91.47,182.94
61,22,88,2,359.38,718.76
62,22,48,1,429.54,429.54
63,23,68,4,334.58,1338.32
64,23,7,4,433.96,1735.84
65,24,18,1,146.65,146.65
66,24,25,5,11.18,55.9
67,24,98,5,471.22,2356.1
68,24,81,5,144.13,720.65
69,24,88,1,359.38,359.38
70,25,90,2,55.53,111.06
71,25,82,4,156.37,625.48
72,25,49,3,480.88,1442.64
73,25,66,3,82.04,246.12
74,25,83,1,70.7,70.7
75,26,11,1,168.45,168.45
76,26,50,2,36.53,73.06
77,26,73,5,255.68,1278.4
78,27,85,1,471.23,471.23
79,27,86,5,414.94,2074.7
80,27,62,5,286.67,1433.35
81,27,73,5,255.68,1278.4
82,28,85,4,471.23,1884.92
83,28,71,4,312.55,1250.2
84,28,92,3,179.48,538.44
85,28,37,5,150.09,750.45
86,29,86,5,414.94,2074.7
87,29,61,5,178.01,890.05
88,29,60,4,121.06,484.24
89,29,23,3,412.71,1238.13
90,29,39,5,237.28,1186.4
91,30,16,4,191.0,764.0
92,31,79,5,265.68,1328.4
93,31,34,4,204.25,817.0
94,31,85,1,471.23,471.23
95,32,54,2,74.12,148.24
96,33,42,2,98.37,196.74
97,33,99,4,456.46,1825.84
98,33,8,2,145.01,290.02
